,category,sub,phase,high_level,mid_level,fine_level
486,Dclosedmanmadebathroom,7,D,closed,manmade,bathroom
487,Dclosedmanmadeconferencehall,7,D,closed,manmade,conferencehall
488,Dclosedmanmadelivingroom,7,D,closed,manmade,livingroom
489,Dclosednaturalcave,7,D,closed,natural,cave
490,Dclosednaturalforestccanopy,7,D,closed,natural,forestccanopy
491,Dclosednaturalicecave,7,D,closed,natural,icecave
492,Dopenmanmadecity,7,D,open,manmade,city
493,Dopenmanmadefarmhouse,7,D,open,manmade,farmhouse
494,Dopenmanmadesuburbs,7,D,open,manmade,suburbs
495,Dopennaturalgarden,7,D,open,natural,garden
496,Dopennaturallake,7,D,open,natural,lake
497,Dopennaturalmountains,7,D,open,natural,mountains
498,Dsmallnottoolbowl,7,D,small,nottool,bowl
499,Dsmallnottoolcupcake,7,D,small,nottool,cupcake
500,Dsmallnottoolflowers,7,D,small,nottool,flowers
501,Dsmalltooldrill,7,D,small,tool,drill
502,Dsmalltoolhairbrush,7,D,small,tool,hairbrush
503,Dsmalltoolwateringcan,7,D,small,tool,wateringcan
504,Ebignottoolchair,8,E,big,nottool,chair
505,Ebignottoollamppost,8,E,big,nottool,lamppost
506,Ebignottooltv,8,E,big,nottool,tv
507,Ebigtoolguitar,8,E,big,tool,guitar
508,Ebigtoolleafblower,8,E,big,tool,leafblower
509,Ebigtoolumbrella,8,E,big,tool,umbrella
510,Eclosedmanmadebathroom,8,E,closed,manmade,bathroom
511,Eclosedmanmadeconferencehall,8,E,closed,manmade,conferencehall
512,Eclosedmanmadelivingroom,8,E,closed,manmade,livingroom
513,Eclosednaturalcave,8,E,closed,natural,cave
514,Eclosednaturalforestccanopy,8,E,closed,natural,forestccanopy
515,Eclosednaturalicecave,8,E,closed,natural,icecave
516,Eopenmanmadecity,8,E,open,manmade,city
517,Eopenmanmadefarmhouse,8,E,open,manmade,farmhouse
518,Eopenmanmadesuburbs,8,E,open,manmade,suburbs
519,Eopennaturalgarden,8,E,open,natural,garden
520,Eopennaturallake,8,E,open,natural,lake
521,Eopennaturalmountains,8,E,open,natural,mountains
522,Esmallnottoolbowl,8,E,small,nottool,bowl
523,Esmallnottoolcupcake,8,E,small,nottool,cupcake
524,Esmallnottoolflowers,8,E,small,nottool,flowers
525,Esmalltooldrill,8,E,small,tool,drill
526,Esmalltoolhairbrush,8,E,small,tool,hairbrush
527,Esmalltoolwateringcan,8,E,small,tool,wateringcan
528,Rbignottoolchair,8,R,big,nottool,chair
529,Rbignottoollamppost,8,R,big,nottool,lamppost
530,Rbignottooltv,8,R,big,nottool,tv
531,Rbigtoolguitar,8,R,big,tool,guitar
532,Rbigtoolleafblower,8,R,big,tool,leafblower
533,Rbigtoolumbrella,8,R,big,tool,umbrella
534,Rclosedmanmadebathroom,8,R,closed,manmade,bathroom
535,Rclosedmanmadeconferencehall,8,R,closed,manmade,conferencehall
536,Rclosedmanmadelivingroom,8,R,closed,manmade,livingroom
537,Rclosednaturalcave,8,R,closed,natural,cave
538,Rclosednaturalforestccanopy,8,R,closed,natural,forestccanopy
539,Rclosednaturalicecave,8,R,closed,natural,icecave
540,Ropenmanmadecity,8,R,open,manmade,city
541,Ropenmanmadefarmhouse,8,R,open,manmade,farmhouse
542,Ropenmanmadesuburbs,8,R,open,manmade,suburbs
543,Ropennaturalgarden,8,R,open,natural,garden
544,Ropennaturallake,8,R,open,natural,lake
545,Ropennaturalmountains,8,R,open,natural,mountains
546,Rsmallnottoolbowl,8,R,small,nottool,bowl
547,Rsmallnottoolcupcake,8,R,small,nottool,cupcake
548,Rsmallnottoolflowers,8,R,small,nottool,flowers
549,Rsmalltooldrill,8,R,small,tool,drill
550,Rsmalltoolhairbrush,8,R,small,tool,hairbrush
551,Rsmalltoolwateringcan,8,R,small,tool,wateringcan
552,Dbignottoolchair,8,D,big,nottool,chair
553,Dbignottoollamppost,8,D,big,nottool,lamppost
554,Dbignottooltv,8,D,big,nottool,tv
555,Dbigtoolguitar,8,D,big,tool,guitar
556,Dbigtoolleafblower,8,D,big,tool,leafblower
557,Dbigtoolumbrella,8,D,big,tool,umbrella
558,Dclosedmanmadebathroom,8,D,closed,manmade,bathroom
559,Dclosedmanmadeconferencehall,8,D,closed,manmade,conferencehall
560,Dclosedmanmadelivingroom,8,D,closed,manmade,livingroom
561,Dclosednaturalcave,8,D,closed,natural,cave
562,Dclosednaturalforestccanopy,8,D,closed,natural,forestccanopy
563,Dclosednaturalicecave,8,D,closed,natural,icecave
564,Dopenmanmadecity,8,D,open,manmade,city
565,Dopenmanmadefarmhouse,8,D,open,manmade,farmhouse
566,Dopenmanmadesuburbs,8,D,open,manmade,suburbs
567,Dopennaturalgarden,8,D,open,natural,garden
568,Dopennaturallake,8,D,open,natural,lake
569,Dopennaturalmountains,8,D,open,natural,mountains
570,Dsmallnottoolbowl,8,D,small,nottool,bowl
571,Dsmallnottoolcupcake,8,D,small,nottool,cupcake
572,Dsmallnottoolflowers,8,D,small,nottool,flowers
573,Dsmalltooldrill,8,D,small,tool,drill
574,Dsmalltoolhairbrush,8,D,small,tool,hairbrush
575,Dsmalltoolwateringcan,8,D,small,tool,wateringcan
576,Ebignottoolchair,9,E,big,nottool,chair
577,Ebignottoollamppost,9,E,big,nottool,lamppost
578,Ebignottooltv,9,E,big,nottool,tv
579,Ebigtoolguitar,9,E,big,tool,guitar
580,Ebigtoolleafblower,9,E,big,tool,leafblower
581,Ebigtoolumbrella,9,E,big,tool,umbrella
582,Eclosedmanmadebathroom,9,E,closed,manmade,bathroom
583,Eclosedmanmadeconferencehall,9,E,closed,manmade,conferencehall
584,Eclosedmanmadelivingroom,9,E,closed,manmade,livingroom
585,Eclosednaturalcave,9,E,closed,natural,cave
586,Eclosednaturalforestccanopy,9,E,closed,natural,forestccanopy
587,Eclosednaturalicecave,9,E,closed,natural,icecave
588,Eopenmanmadecity,9,E,open,manmade,city
589,Eopenmanmadefarmhouse,9,E,open,manmade,farmhouse
590,Eopenmanmadesuburbs,9,E,open,manmade,suburbs
591,Eopennaturalgarden,9,E,open,natural,garden
592,Eopennaturallake,9,E,open,natural,lake
593,Eopennaturalmountains,9,E,open,natural,mountains
594,Esmallnottoolbowl,9,E,small,nottool,bowl
595,Esmallnottoolcupcake,9,E,small,nottool,cupcake
596,Esmallnottoolflowers,9,E,small,nottool,flowers
597,Esmalltooldrill,9,E,small,tool,drill
598,Esmalltoolhairbrush,9,E,small,tool,hairbrush
599,Esmalltoolwateringcan,9,E,small,tool,wateringcan
600,Rbignottoolchair,9,R,big,nottool,chair
601,Rbignottoollamppost,9,R,big,nottool,lamppost
602,Rbignottooltv,9,R,big,nottool,tv
603,Rbigtoolguitar,9,R,big,tool,guitar
604,Rbigtoolleafblower,9,R,big,tool,leafblower
605,Rbigtoolumbrella,9,R,big,tool,umbrella
606,Rclosedmanmadebathroom,9,R,closed,manmade,bathroom
607,Rclosedmanmadeconferencehall,9,R,closed,manmade,conferencehall
608,Rclosedmanmadelivingroom,9,R,closed,manmade,livingroom
609,Rclosednaturalcave,9,R,closed,natural,cave
610,Rclosednaturalforestccanopy,9,R,closed,natural,forestccanopy
611,Rclosednaturalicecave,9,R,closed,natural,icecave
612,Ropenmanmadecity,9,R,open,manmade,city
613,Ropenmanmadefarmhouse,9,R,open,manmade,farmhouse
614,Ropenmanmadesuburbs,9,R,open,manmade,suburbs
615,Ropennaturalgarden,9,R,open,natural,garden
616,Ropennaturallake,9,R,open,natural,lake
617,Ropennaturalmountains,9,R,open,natural,mountains
618,Rsmallnottoolbowl,9,R,small,nottool,bowl
619,Rsmallnottoolcupcake,9,R,small,nottool,cupcake
620,Rsmallnottoolflowers,9,R,small,nottool,flowers
621,Rsmalltooldrill,9,R,small,tool,drill
622,Rsmalltoolhairbrush,9,R,small,tool,hairbrush
623,Rsmalltoolwateringcan,9,R,small,tool,wateringcan
624,Dbignottoolchair,9,D,big,nottool,chair
625,Dbignottoollamppost,9,D,big,nottool,lamppost
626,Dbignottooltv,9,D,big,nottool,tv
627,Dbigtoolguitar,9,D,big,tool,guitar
628,Dbigtoolleafblower,9,D,big,tool,leafblower
629,Dbigtoolumbrella,9,D,big,tool,umbrella
630,Dclosedmanmadebathroom,9,D,closed,manmade,bathroom
631,Dclosedmanmadeconferencehall,9,D,closed,manmade,conferencehall
632,Dclosedmanmadelivingroom,9,D,closed,manmade,livingroom
633,Dclosednaturalcave,9,D,closed,natural,cave
634,Dclosednaturalforestccanopy,9,D,closed,natural,forestccanopy
635,Dclosednaturalicecave,9,D,closed,natural,icecave
636,Dopenmanmadecity,9,D,open,manmade,city
637,Dopenmanmadefarmhouse,9,D,open,manmade,farmhouse
638,Dopenmanmadesuburbs,9,D,open,manmade,suburbs
639,Dopennaturalgarden,9,D,open,natural,garden
640,Dopennaturallake,9,D,open,natural,lake
641,Dopennaturalmountains,9,D,open,natural,mountains
642,Dsmallnottoolbowl,9,D,small,nottool,bowl
643,Dsmallnottoolcupcake,9,D,small,nottool,cupcake
644,Dsmallnottoolflowers,9,D,small,nottool,flowers
645,Dsmalltooldrill,9,D,small,tool,drill
646,Dsmalltoolhairbrush,9,D,small,tool,hairbrush
647,Dsmalltoolwateringcan,9,D,small,tool,wateringcan
648,Ebignottoolchair,10,E,big,nottool,chair
649,Ebignottoollamppost,10,E,big,nottool,lamppost
650,Ebignottooltv,10,E,big,nottool,tv
651,Ebigtoolguitar,10,E,big,tool,guitar
652,Ebigtoolleafblower,10,E,big,tool,leafblower
653,Ebigtoolumbrella,10,E,big,tool,umbrella
654,Eclosedmanmadebathroom,10,E,closed,manmade,bathroom
655,Eclosedmanmadeconferencehall,10,E,closed,manmade,conferencehall
656,Eclosedmanmadelivingroom,10,E,closed,manmade,livingroom
657,Eclosednaturalcave,10,E,closed,natural,cave
658,Eclosednaturalforestccanopy,10,E,closed,natural,forestccanopy
659,Eclosednaturalicecave,10,E,closed,natural,icecave
660,Eopenmanmadecity,10,E,open,manmade,city
661,Eopenmanmadefarmhouse,10,E,open,manmade,farmhouse
662,Eopenmanmadesuburbs,10,E,open,manmade,suburbs
663,Eopennaturalgarden,10,E,open,natural,garden
664,Eopennaturallake,10,E,open,natural,lake
665,Eopennaturalmountains,10,E,open,natural,mountains
666,Esmallnottoolbowl,10,E,small,nottool,bowl
667,Esmallnottoolcupcake,10,E,small,nottool,cupcake
668,Esmallnottoolflowers,10,E,small,nottool,flowers
669,Esmalltooldrill,10,E,small,tool,drill
670,Esmalltoolhairbrush,10,E,small,tool,hairbrush
671,Esmalltoolwateringcan,10,E,small,tool,wateringcan
672,Rbignottoolchair,10,R,big,nottool,chair
673,Rbignottoollamppost,10,R,big,nottool,lamppost
674,Rbignottooltv,10,R,big,nottool,tv
675,Rbigtoolguitar,10,R,big,tool,guitar
676,Rbigtoolleafblower,10,R,big,tool,leafblower
677,Rbigtoolumbrella,10,R,big,tool,umbrella
678,Rclosedmanmadebathroom,10,R,closed,manmade,bathroom
679,Rclosedmanmadeconferencehall,10,R,closed,manmade,conferencehall
680,Rclosedmanmadelivingroom,10,R,closed,manmade,livingroom
681,Rclosednaturalcave,10,R,closed,natural,cave
682,Rclosednaturalforestccanopy,10,R,closed,natural,forestccanopy
683,Rclosednaturalicecave,10,R,closed,natural,icecave
684,Ropenmanmadecity,10,R,open,manmade,city
685,Ropenmanmadefarmhouse,10,R,open,manmade,farmhouse
686,Ropenmanmadesuburbs,10,R,open,manmade,suburbs
687,Ropennaturalgarden,10,R,open,natural,garden
688,Ropennaturallake,10,R,open,natural,lake
689,Ropennaturalmountains,10,R,open,natural,mountains
690,Rsmallnottoolbowl,10,R,small,nottool,bowl
691,Rsmallnottoolcupcake,10,R,small,nottool,cupcake
692,Rsmallnottoolflowers,10,R,small,nottool,flowers
693,Rsmalltooldrill,10,R,small,tool,drill
694,Rsmalltoolhairbrush,10,R,small,tool,hairbrush
695,Rsmalltoolwateringcan,10,R,small,tool,wateringcan
696,Dbignottoolchair,10,D,big,nottool,chair
697,Dbignottoollamppost,10,D,big,nottool,lamppost
698,Dbignottooltv,10,D,big,nottool,tv
699,Dbigtoolguitar,10,D,big,tool,guitar
700,Dbigtoolleafblower,10,D,big,tool,leafblower
701,Dbigtoolumbrella,10,D,big,tool,umbrella
702,Dclosedmanmadebathroom,10,D,closed,manmade,bathroom
703,Dclosedmanmadeconferencehall,10,D,closed,manmade,conferencehall
704,Dclosedmanmadelivingroom,10,D,closed,manmade,livingroom
705,Dclosednaturalcave,10,D,closed,natural,cave
706,Dclosednaturalforestccanopy,10,D,closed,natural,forestccanopy
707,Dclosednaturalicecave,10,D,closed,natural,icecave
708,Dopenmanmadecity,10,D,open,manmade,city
709,Dopenmanmadefarmhouse,10,D,open,manmade,farmhouse
710,Dopenmanmadesuburbs,10,D,open,manmade,suburbs
711,Dopennaturalgarden,10,D,open,natural,garden
712,Dopennaturallake,10,D,open,natural,lake
713,Dopennaturalmountains,10,D,open,natural,mountains
714,Dsmallnottoolbowl,10,D,small,nottool,bowl
715,Dsmallnottoolcupcake,10,D,small,nottool,cupcake
716,Dsmallnottoolflowers,10,D,small,nottool,flowers
717,Dsmalltooldrill,10,D,small,tool,drill
718,Dsmalltoolhairbrush,10,D,small,tool,hairbrush
719,Dsmalltoolwateringcan,10,D,small,tool,wateringcan
720,Ebignottoolchair,11,E,big,nottool,chair
721,Ebignottoollamppost,11,E,big,nottool,lamppost
722,Ebignottooltv,11,E,big,nottool,tv
723,Ebigtoolguitar,11,E,big,tool,guitar
724,Ebigtoolleafblower,11,E,big,tool,leafblower
725,Ebigtoolumbrella,11,E,big,tool,umbrella
726,Eclosedmanmadebathroom,11,E,closed,manmade,bathroom
727,Eclosedmanmadeconferencehall,11,E,closed,manmade,conferencehall
728,Eclosedmanmadelivingroom,11,E,closed,manmade,livingroom
729,Eclosednaturalcave,11,E,closed,natural,cave
730,Eclosednaturalforestccanopy,11,E,closed,natural,forestccanopy
731,Eclosednaturalicecave,11,E,closed,natural,icecave
732,Eopenmanmadecity,11,E,open,manmade,city
733,Eopenmanmadefarmhouse,11,E,open,manmade,farmhouse
734,Eopenmanmadesuburbs,11,E,open,manmade,suburbs
735,Eopennaturalgarden,11,E,open,natural,garden
736,Eopennaturallake,11,E,open,natural,lake
737,Eopennaturalmountains,11,E,open,natural,mountains
738,Esmallnottoolbowl,11,E,small,nottool,bowl
739,Esmallnottoolcupcake,11,E,small,nottool,cupcake
740,Esmallnottoolflowers,11,E,small,nottool,flowers
741,Esmalltooldrill,11,E,small,tool,drill
742,Esmalltoolhairbrush,11,E,small,tool,hairbrush
743,Esmalltoolwateringcan,11,E,small,tool,wateringcan
744,Rbignottoolchair,11,R,big,nottool,chair
745,Rbignottoollamppost,11,R,big,nottool,lamppost
746,Rbignottooltv,11,R,big,nottool,tv
747,Rbigtoolguitar,11,R,big,tool,guitar
748,Rbigtoolleafblower,11,R,big,tool,leafblower
749,Rbigtoolumbrella,11,R,big,tool,umbrella
750,Rclosedmanmadebathroom,11,R,closed,manmade,bathroom
751,Rclosedmanmadeconferencehall,11,R,closed,manmade,conferencehall
752,Rclosedmanmadelivingroom,11,R,closed,manmade,livingroom
753,Rclosednaturalcave,11,R,closed,natural,cave
754,Rclosednaturalforestccanopy,11,R,closed,natural,forestccanopy
755,Rclosednaturalicecave,11,R,closed,natural,icecave
756,Ropenmanmadecity,11,R,open,manmade,city
757,Ropenmanmadefarmhouse,11,R,open,manmade,farmhouse
758,Ropenmanmadesuburbs,11,R,open,manmade,suburbs
759,Ropennaturalgarden,11,R,open,natural,garden
760,Ropennaturallake,11,R,open,natural,lake
761,Ropennaturalmountains,11,R,open,natural,mountains
762,Rsmallnottoolbowl,11,R,small,nottool,bowl
763,Rsmallnottoolcupcake,11,R,small,nottool,cupcake
764,Rsmallnottoolflowers,11,R,small,nottool,flowers
765,Rsmalltooldrill,11,R,small,tool,drill
766,Rsmalltoolhairbrush,11,R,small,tool,hairbrush
767,Rsmalltoolwateringcan,11,R,small,tool,wateringcan
768,Dbignottoolchair,11,D,big,nottool,chair
769,Dbignottoollamppost,11,D,big,nottool,lamppost
770,Dbignottooltv,11,D,big,nottool,tv
771,Dbigtoolguitar,11,D,big,tool,guitar
772,Dbigtoolleafblower,11,D,big,tool,leafblower
773,Dbigtoolumbrella,11,D,big,tool,umbrella
774,Dclosedmanmadebathroom,11,D,closed,manmade,bathroom
775,Dclosedmanmadeconferencehall,11,D,closed,manmade,conferencehall
776,Dclosedmanmadelivingroom,11,D,closed,manmade,livingroom
777,Dclosednaturalcave,11,D,closed,natural,cave
778,Dclosednaturalforestccanopy,11,D,closed,natural,forestccanopy
779,Dclosednaturalicecave,11,D,closed,natural,icecave
780,Dopenmanmadecity,11,D,open,manmade,city
781,Dopenmanmadefarmhouse,11,D,open,manmade,farmhouse
782,Dopenmanmadesuburbs,11,D,open,manmade,suburbs
783,Dopennaturalgarden,11,D,open,natural,garden
784,Dopennaturallake,11,D,open,natural,lake
785,Dopennaturalmountains,11,D,open,natural,mountains
786,Dsmallnottoolbowl,11,D,small,nottool,bowl
787,Dsmallnottoolcupcake,11,D,small,nottool,cupcake
788,Dsmallnottoolflowers,11,D,small,nottool,flowers
789,Dsmalltooldrill,11,D,small,tool,drill
790,Dsmalltoolhairbrush,11,D,small,tool,hairbrush
791,Dsmalltoolwateringcan,11,D,small,tool,wateringcan
792,Ebignottoolchair,12,E,big,nottool,chair
793,Ebignottoollamppost,12,E,big,nottool,lamppost
794,Ebignottooltv,12,E,big,nottool,tv
795,Ebigtoolguitar,12,E,big,tool,guitar
796,Ebigtoolleafblower,12,E,big,tool,leafblower
797,Ebigtoolumbrella,12,E,big,tool,umbrella
798,Eclosedmanmadebathroom,12,E,closed,manmade,bathroom
799,Eclosedmanmadeconferencehall,12,E,closed,manmade,conferencehall
800,Eclosedmanmadelivingroom,12,E,closed,manmade,livingroom
801,Eclosednaturalcave,12,E,closed,natural,cave
802,Eclosednaturalforestccanopy,12,E,closed,natural,forestccanopy
803,Eclosednaturalicecave,12,E,closed,natural,icecave
804,Eopenmanmadecity,12,E,open,manmade,city
805,Eopenmanmadefarmhouse,12,E,open,manmade,farmhouse
806,Eopenmanmadesuburbs,12,E,open,manmade,suburbs
807,Eopennaturalgarden,12,E,open,natural,garden
808,Eopennaturallake,12,E,open,natural,lake
809,Eopennaturalmountains,12,E,open,natural,mountains
810,Esmallnottoolbowl,12,E,small,nottool,bowl
811,Esmallnottoolcupcake,12,E,small,nottool,cupcake
812,Esmallnottoolflowers,12,E,small,nottool,flowers
813,Esmalltooldrill,12,E,small,tool,drill
814,Esmalltoolhairbrush,12,E,small,tool,hairbrush
815,Esmalltoolwateringcan,12,E,small,tool,wateringcan
816,Rbignottoolchair,12,R,big,nottool,chair
817,Rbignottoollamppost,12,R,big,nottool,lamppost
818,Rbignottooltv,12,R,big,nottool,tv
819,Rbigtoolguitar,12,R,big,tool,guitar
820,Rbigtoolleafblower,12,R,big,tool,leafblower
821,Rbigtoolumbrella,12,R,big,tool,umbrella
822,Rclosedmanmadebathroom,12,R,closed,manmade,bathroom
823,Rclosedmanmadeconferencehall,12,R,closed,manmade,conferencehall
824,Rclosedmanmadelivingroom,12,R,closed,manmade,livingroom
825,Rclosednaturalcave,12,R,closed,natural,cave
826,Rclosednaturalforestccanopy,12,R,closed,natural,forestccanopy
827,Rclosednaturalicecave,12,R,closed,natural,icecave
828,Ropenmanmadecity,12,R,open,manmade,city
829,Ropenmanmadefarmhouse,12,R,open,manmade,farmhouse
830,Ropenmanmadesuburbs,12,R,open,manmade,suburbs
831,Ropennaturalgarden,12,R,open,natural,garden
832,Ropennaturallake,12,R,open,natural,lake
833,Ropennaturalmountains,12,R,open,natural,mountains
834,Rsmallnottoolbowl,12,R,small,nottool,bowl
835,Rsmallnottoolcupcake,12,R,small,nottool,cupcake
836,Rsmallnottoolflowers,12,R,small,nottool,flowers
837,Rsmalltooldrill,12,R,small,tool,drill
838,Rsmalltoolhairbrush,12,R,small,tool,hairbrush
839,Rsmalltoolwateringcan,12,R,small,tool,wateringcan
840,Dbignottoolchair,12,D,big,nottool,chair
841,Dbignottoollamppost,12,D,big,nottool,lamppost
842,Dbignottooltv,12,D,big,nottool,tv
843,Dbigtoolguitar,12,D,big,tool,guitar
844,Dbigtoolleafblower,12,D,big,tool,leafblower
845,Dbigtoolumbrella,12,D,big,tool,umbrella
846,Dclosedmanmadebathroom,12,D,closed,manmade,bathroom
847,Dclosedmanmadeconferencehall,12,D,closed,manmade,conferencehall
848,Dclosedmanmadelivingroom,12,D,closed,manmade,livingroom
849,Dclosednaturalcave,12,D,closed,natural,cave
850,Dclosednaturalforestccanopy,12,D,closed,natural,forestccanopy
851,Dclosednaturalicecave,12,D,closed,natural,icecave
852,Dopenmanmadecity,12,D,open,manmade,city
853,Dopenmanmadefarmhouse,12,D,open,manmade,farmhouse
854,Dopenmanmadesuburbs,12,D,open,manmade,suburbs
855,Dopennaturalgarden,12,D,open,natural,garden
856,Dopennaturallake,12,D,open,natural,lake
857,Dopennaturalmountains,12,D,open,natural,mountains
858,Dsmallnottoolbowl,12,D,small,nottool,bowl
859,Dsmallnottoolcupcake,12,D,small,nottool,cupcake
860,Dsmallnottoolflowers,12,D,small,nottool,flowers
861,Dsmalltooldrill,12,D,small,tool,drill
862,Dsmalltoolhairbrush,12,D,small,tool,hairbrush
863,Dsmalltoolwateringcan,12,D,small,tool,wateringcan
864,Ebignottoolchair,13,E,big,nottool,chair
865,Ebignottoollamppost,13,E,big,nottool,lamppost
866,Ebignottooltv,13,E,big,nottool,tv
867,Ebigtoolguitar,13,E,big,tool,guitar
868,Ebigtoolleafblower,13,E,big,tool,leafblower
869,Ebigtoolumbrella,13,E,big,tool,umbrella
870,Eclosedmanmadebathroom,13,E,closed,manmade,bathroom
871,Eclosedmanmadeconferencehall,13,E,closed,manmade,conferencehall
872,Eclosedmanmadelivingroom,13,E,closed,manmade,livingroom
873,Eclosednaturalcave,13,E,closed,natural,cave
874,Eclosednaturalforestccanopy,13,E,closed,natural,forestccanopy
875,Eclosednaturalicecave,13,E,closed,natural,icecave
876,Eopenmanmadecity,13,E,open,manmade,city
877,Eopenmanmadefarmhouse,13,E,open,manmade,farmhouse
878,Eopenmanmadesuburbs,13,E,open,manmade,suburbs
879,Eopennaturalgarden,13,E,open,natural,garden
880,Eopennaturallake,13,E,open,natural,lake
881,Eopennaturalmountains,13,E,open,natural,mountains
882,Esmallnottoolbowl,13,E,small,nottool,bowl
883,Esmallnottoolcupcake,13,E,small,nottool,cupcake
884,Esmallnottoolflowers,13,E,small,nottool,flowers
885,Esmalltooldrill,13,E,small,tool,drill
886,Esmalltoolhairbrush,13,E,small,tool,hairbrush
887,Esmalltoolwateringcan,13,E,small,tool,wateringcan
888,Rbignottoolchair,13,R,big,nottool,chair
889,Rbignottoollamppost,13,R,big,nottool,lamppost
890,Rbignottooltv,13,R,big,nottool,tv
891,Rbigtoolguitar,13,R,big,tool,guitar
892,Rbigtoolleafblower,13,R,big,tool,leafblower
893,Rbigtoolumbrella,13,R,big,tool,umbrella
894,Rclosedmanmadebathroom,13,R,closed,manmade,bathroom
895,Rclosedmanmadeconferencehall,13,R,closed,manmade,conferencehall
896,Rclosedmanmadelivingroom,13,R,closed,manmade,livingroom
897,Rclosednaturalcave,13,R,closed,natural,cave
898,Rclosednaturalforestccanopy,13,R,closed,natural,forestccanopy
899,Rclosednaturalicecave,13,R,closed,natural,icecave
900,Ropenmanmadecity,13,R,open,manmade,city
901,Ropenmanmadefarmhouse,13,R,open,manmade,farmhouse
902,Ropenmanmadesuburbs,13,R,open,manmade,suburbs
903,Ropennaturalgarden,13,R,open,natural,garden
904,Ropennaturallake,13,R,open,natural,lake
905,Ropennaturalmountains,13,R,open,natural,mountains
906,Rsmallnottoolbowl,13,R,small,nottool,bowl
907,Rsmallnottoolcupcake,13,R,small,nottool,cupcake
908,Rsmallnottoolflowers,13,R,small,nottool,flowers
909,Rsmalltooldrill,13,R,small,tool,drill
910,Rsmalltoolhairbrush,13,R,small,tool,hairbrush
911,Rsmalltoolwateringcan,13,R,small,tool,wateringcan
912,Dbignottoolchair,13,D,big,nottool,chair
913,Dbignottoollamppost,13,D,big,nottool,lamppost
914,Dbignottooltv,13,D,big,nottool,tv
915,Dbigtoolguitar,13,D,big,tool,guitar
916,Dbigtoolleafblower,13,D,big,tool,leafblower
917,Dbigtoolumbrella,13,D,big,tool,umbrella
918,Dclosedmanmadebathroom,13,D,closed,manmade,bathroom
919,Dclosedmanmadeconferencehall,13,D,closed,manmade,conferencehall
920,Dclosedmanmadelivingroom,13,D,closed,manmade,livingroom
921,Dclosednaturalcave,13,D,closed,natural,cave
922,Dclosednaturalforestccanopy,13,D,closed,natural,forestccanopy
923,Dclosednaturalicecave,13,D,closed,natural,icecave
924,Dopenmanmadecity,13,D,open,manmade,city
925,Dopenmanmadefarmhouse,13,D,open,manmade,farmhouse
926,Dopenmanmadesuburbs,13,D,open,manmade,suburbs
927,Dopennaturalgarden,13,D,open,natural,garden
928,Dopennaturallake,13,D,open,natural,lake
929,Dopennaturalmountains,13,D,open,natural,mountains
930,Dsmallnottoolbowl,13,D,small,nottool,bowl
931,Dsmallnottoolcupcake,13,D,small,nottool,cupcake
932,Dsmallnottoolflowers,13,D,small,nottool,flowers
933,Dsmalltooldrill,13,D,small,tool,drill
934,Dsmalltoolhairbrush,13,D,small,tool,hairbrush
935,Dsmalltoolwateringcan,13,D,small,tool,wateringcan
936,Ebignottoolchair,14,E,big,nottool,chair
937,Ebignottoollamppost,14,E,big,nottool,lamppost
938,Ebignottooltv,14,E,big,nottool,tv
939,Ebigtoolguitar,14,E,big,tool,guitar
940,Ebigtoolleafblower,14,E,big,tool,leafblower
941,Ebigtoolumbrella,14,E,big,tool,umbrella
942,Eclosedmanmadebathroom,14,E,closed,manmade,bathroom
943,Eclosedmanmadeconferencehall,14,E,closed,manmade,conferencehall
944,Eclosedmanmadelivingroom,14,E,closed,manmade,livingroom
945,Eclosednaturalcave,14,E,closed,natural,cave
946,Eclosednaturalforestccanopy,14,E,closed,natural,forestccanopy
947,Eclosednaturalicecave,14,E,closed,natural,icecave
948,Eopenmanmadecity,14,E,open,manmade,city
949,Eopenmanmadefarmhouse,14,E,open,manmade,farmhouse
950,Eopenmanmadesuburbs,14,E,open,manmade,suburbs
951,Eopennaturalgarden,14,E,open,natural,garden
952,Eopennaturallake,14,E,open,natural,lake
953,Eopennaturalmountains,14,E,open,natural,mountains
954,Esmallnottoolbowl,14,E,small,nottool,bowl
955,Esmallnottoolcupcake,14,E,small,nottool,cupcake
956,Esmallnottoolflowers,14,E,small,nottool,flowers
957,Esmalltooldrill,14,E,small,tool,drill
958,Esmalltoolhairbrush,14,E,small,tool,hairbrush
959,Esmalltoolwateringcan,14,E,small,tool,wateringcan
960,Rbignottoolchair,14,R,big,nottool,chair
961,Rbignottoollamppost,14,R,big,nottool,lamppost
962,Rbignottooltv,14,R,big,nottool,tv
963,Rbigtoolguitar,14,R,big,tool,guitar
964,Rbigtoolleafblower,14,R,big,tool,leafblower
965,Rbigtoolumbrella,14,R,big,tool,umbrella
966,Rclosedmanmadebathroom,14,R,closed,manmade,bathroom
967,Rclosedmanmadeconferencehall,14,R,closed,manmade,conferencehall
968,Rclosedmanmadelivingroom,14,R,closed,manmade,livingroom
969,Rclosednaturalcave,14,R,closed,natural,cave
970,Rclosednaturalforestccanopy,14,R,closed,natural,forestccanopy
971,Rclosednaturalicecave,14,R,closed,natural,icecave
972,Ropenmanmadecity,14,R,open,manmade,city
973,Ropenmanmadefarmhouse,14,R,open,manmade,farmhouse
974,Ropenmanmadesuburbs,14,R,open,manmade,suburbs
