,roi,phase,sub,corr,shuff_corr,roi_group
0,LO,E,1,0.002978135638183567,0.04848472251245275,object
1,LO,E,2,0.14182388949929367,0.05378179535109374,object
2,LO,E,3,0.24751681694575642,0.06490196078431372,object
3,LO,E,4,0.08621109858592202,0.04968288123742526,object
4,LO,E,5,0.06097744039040539,0.04648617456942681,object
5,LO,E,6,0.2082249600222897,0.04831507474609152,object
6,LO,E,7,0.3607094647622037,0.04384344401478291,object
7,LO,E,8,0.2693437593641643,0.044425496211526666,object
8,LO,E,9,0.4810644825273613,0.048128896562549046,object
9,LO,E,10,0.26942081305917437,0.054013669896262904,object
10,LO,E,11,0.31520155248926246,0.04820027682253392,object
11,LO,E,12,0.47415019762845856,0.05338522566744196,object
12,LO,E,13,0.3627448238466917,0.04833849402833865,object
13,LO,E,14,0.37740386124627223,0.04725041023957991,object
14,LO,E,15,0.5599821267400863,0.049601890178747415,object
15,LO,E,16,0.2899842286648883,0.05092481356724235,object
16,LO,E,17,0.34611435339107605,0.05138564232816314,object
17,LO,E,18,0.23135971233287195,0.05327481628401421,object
18,LO,E,19,0.3154498366176282,0.04839787103494527,object
19,LO,E,20,0.23529173385082977,0.0454472453304034,object
20,LO,E,21,0.475507484196858,0.043887353205576414,object
21,LO,E,22,0.3726779012856552,0.04797620467744467,object
22,LO,R,1,0.01233047450096406,0.047922240945178295,object
23,LO,R,2,0.026485352663346704,0.04560648392574306,object
24,LO,R,3,0.01891131148323076,0.06132083392967893,object
25,LO,R,4,0.06344772477561679,0.045823341561906934,object
26,LO,R,5,0.10295629343188598,0.046383390647964505,object
27,LO,R,6,0.045607935371714904,0.05064196273884737,object
28,LO,R,7,0.008830353448152852,0.04940456899873004,object
29,LO,R,8,0.04190351165080407,0.04633426463663476,object
30,LO,R,9,0.06679699205205405,0.05007825230804355,object
31,LO,R,10,0.08195145617214367,0.055200416660721174,object
32,LO,R,11,0.08875957820236585,0.049961381829597175,object
33,LO,R,12,0.10055792582868395,0.049588453361110715,object
34,LO,R,13,0.059281117563961705,0.05651986130334898,object
35,LO,R,14,0.06666229077781424,0.05299974030050941,object
36,LO,R,15,0.09389834175866356,0.05493430169054954,object
37,LO,R,16,0.07769913744426486,0.05099140364882494,object
38,LO,R,17,0.172708151995548,0.04997186113211855,object
39,LO,R,18,0.09237025727372612,0.04748770137412423,object
40,LO,R,19,0.05530628843766499,0.04236543428318661,object
41,LO,R,20,0.07173984389492159,0.04839042821877542,object
42,LO,R,21,0.11201552489262426,0.048685287025013915,object
43,LO,R,22,0.27647550691342876,0.04529148842054195,object
44,PFS,E,1,0.014683935259080759,0.04727820336687163,object
45,PFS,E,2,0.09900657810248142,0.052103063597836785,object
46,PFS,E,3,0.20097800677448593,0.0664809407948094,object
47,PFS,E,4,0.046575819408969626,0.04678807094647623,object
48,PFS,E,5,0.05660763973116822,0.052114456129336045,object
49,PFS,E,6,0.11904317296306341,0.048849079141787106,object
50,PFS,E,7,0.16236925842953154,0.05830021831880254,object
51,PFS,E,8,0.2940585893466132,0.04801965154606812,object
52,PFS,E,9,0.29505515046874337,0.04736246914284899,object
53,PFS,E,10,0.21876742626389464,0.04333819437508026,object
54,PFS,E,11,0.4808395998915541,0.05063876942395228,object
55,PFS,E,12,0.3988727329804084,0.04396197542843281,object
56,PFS,E,13,0.47461251979851893,0.043422799332201306,object
57,PFS,E,14,0.12428247313822575,0.05066533867952798,object
58,PFS,E,15,0.5119955361311062,0.052512667635913106,object
59,PFS,E,16,0.2661889834303627,0.043735538075118284,object
60,PFS,E,17,0.4195077125041024,0.04976907863757653,object
61,PFS,E,18,0.13044733950714174,0.04219158973188168,object
62,PFS,E,19,0.49509453346841514,0.047973390790656524,object
63,PFS,E,20,0.019220616144176028,0.05455850230447625,object
64,PFS,E,21,0.5846543285626633,0.049764729384569294,object
65,PFS,E,22,0.5590793510366576,0.049526011329747,object
66,PFS,R,1,0.024404558125886436,0.046719404639637425,object
67,PFS,R,2,0.028267290706468228,0.04773425607511309,object
68,PFS,R,3,0.03710700825342302,0.06981747054052766,object
69,PFS,R,4,0.05791412793767214,0.04857545982505958,object
70,PFS,R,5,0.12901014540317632,0.04828348910546368,object
71,PFS,R,6,0.002578729042268926,0.049299245203045274,object
72,PFS,R,7,0.005599805938842198,0.06026768453646496,object
73,PFS,R,8,0.0006695109944207418,0.04506148599477746,object
74,PFS,R,9,0.0077184971675632475,0.04444521054208701,object
75,PFS,R,10,0.05382172058047117,0.04709870578330788,object
76,PFS,R,11,0.11072558896134473,0.05045217962072458,object
77,PFS,R,12,0.09814414748647993,0.04715831680484012,object
78,PFS,R,13,0.1124458840484582,0.043993276351650235,object
79,PFS,R,14,0.02804982805610651,0.05027678258015726,object
